WRITE_REVIEW	sub_area	WRITE	비평/감상문
MEDIA_ETC	sub_area	MEDIA	기타
READ_ETC	sub_area	READ	기타
SPEAK_ETC	sub_area	SPEAK	기타
WRITE_ETC	sub_area	WRITE	기타
READ	area	NULL	독서 (비문학)
LIT	area	NULL	문학
GRAM	area	NULL	문법
SPEAK	area	NULL	화법
WRITE	area	NULL	작문
MEDIA	area	NULL	매체
