Test,Answered,Accuracy,Correct_Cnt,TCI,Final_Level,어휘력,문장 독해력,구조 독해력,논리 사고력,어법·문법 능력,국어 개념 적용 능력,국어 관련 배경지식,비문학 배경지식,문제 분석 및 전략 수립 능력,선택지 분석 및 전략 수립 능력
Frege,40,20%,8,38.39,Frege 1,48.2,0,43.5,18.5,56.2,50.5,39.5,27.5,50.0,50.0
Frege,40,40%,16,47.92,Frege 2,54.2,15.0,61.0,45.0,65.6,52.4,50.0,36.0,50.0,50.0
Frege,40,60%,24,57.25,Frege 3,49.0,47.5,53.5,70.5,68.0,67.5,57.0,59.5,50.0,50.0
Frege,40,80%,32,65.1,Russell 1 (Promoted),53.5,100,50.5,79.0,78.0,75.0,60.5,54.5,50.0,50.0
Frege,40,100%,40,73.2,Russell 1 (Promoted),81.5,100,64.0,88.5,85.0,81.5,64.0,67.5,50.0,50.0
Frege,20,20%,4,43.95,Frege 1,43.0,35.5,48.0,40.0,42.5,40.5,50.0,40.0,50.0,50.0
Frege,20,40%,8,48.44,Frege 2,55.7,42.5,50.0,28.0,62.2,51.0,53.5,41.5,50.0,50.0
Frege,20,60%,12,53.05,Frege 2,60.5,59.0,43.5,39.0,64.0,60.5,53.5,50.5,50.0,50.0
Frege,20,80%,16,57.15,Frege 3,64.5,73.0,57.0,55.5,61.0,53.5,50.0,57.0,50.0,50.0
Frege,20,100%,20,62.6,Frege 3,74.5,85.0,53.5,67.5,71.0,57.0,57.0,60.5,50.0,50.0
Frege,30,20%,6,38.74,Frege 1,35.0,6.5,50.5,37.5,44.2,40.7,46.5,26.5,50.0,50.0
Frege,30,40%,12,48.23,Frege 2,51.7,24.0,60.5,38.5,52.4,50.7,57.0,47.5,50.0,50.0
Frege,30,60%,18,54.03,Frege 2,64.0,78.5,44.5,41.0,51.4,48.4,64.0,48.5,50.0,50.0
Frege,30,80%,24,61.9,Frege 3,74.5,76.5,57.5,67.5,64.0,64.0,60.5,54.5,50.0,50.0
Frege,30,100%,30,67.25,Russell 1 (Promoted),78.0,100,53.5,74.5,78.0,74.5,57.0,57.0,50.0,50.0
Frege,40,20%,8,37.3,Frege 1,35.5,0,54.0,21.0,59.0,44.0,43.0,16.5,50.0,50.0
Frege,40,40%,16,46.5,Frege 2,39.5,33.0,50.5,52.0,44.5,57.5,50.0,38.0,50.0,50.0
Frege,40,60%,24,56.22,Frege 3,47.7,89.0,54.5,52.0,49.1,66.4,64.0,39.5,50.0,50.0
Frege,40,80%,32,66.85,Russell 1 (Promoted),69.0,100,47.0,78.0,75.0,81.5,67.5,50.5,50.0,50.0
Frege,40,100%,40,72.5,Russell 1 (Promoted),78.0,100,64.0,92.0,78.0,85.0,64.0,64.0,50.0,50.0
Russell,20,20%,4,47.92,Russell 2,51.4,49.4,49.0,38.8,44.0,49.6,50.9,46.1,50.0,50.0
Russell,20,40%,8,54.34,Russell 2,57.0,75.2,51.3,46.6,56.5,53.0,52.3,51.5,50.0,50.0
Russell,20,60%,12,58.65,Russell 3,57.0,81.9,48.5,51.4,73.0,59.0,57.0,58.7,50.0,50.0
Russell,20,80%,16,63.5,Russell 3,75.9,100,53.5,62.6,71.0,60.5,53.5,58.0,50.0,50.0
Russell,20,100%,20,66.9,Wittgenstein 1 (Promoted),67.5,100,53.5,64.0,92.0,78.0,50.0,64.0,50.0,50.0
Russell,30,20%,6,46.43,Russell 2,37.4,41.1,47.5,54.6,46.8,47.9,48.8,40.2,50.0,50.0
Russell,30,40%,12,54.68,Russell 2,76.9,71.2,44.7,56.2,51.6,49.1,46.0,51.1,50.0,50.0
Russell,30,60%,18,63.48,Russell 3,49.6,100,50.0,71.5,83.5,72.5,62.6,45.1,50.0,50.0
Russell,30,80%,24,69.29,Wittgenstein 1 (Promoted),56.0,100,48.8,73.5,97.5,90.5,62.6,64.0,50.0,50.0
Russell,30,100%,30,74.0,Wittgenstein 1 (Promoted),85.0,100,50.0,85.0,100,88.5,64.0,67.5,50.0,50.0
Russell,40,20%,8,46.34,Russell 2,50.6,31.9,47.5,35.4,51.3,49.7,55.0,42.0,50.0,50.0
Russell,40,40%,16,55.95,Russell 3,54.1,74.1,48.0,50.2,77.1,66.9,51.0,38.1,50.0,50.0
Russell,40,60%,24,66.61,Wittgenstein 1 (Promoted),74.7,100,52.5,81.9,85.1,79.9,48.8,43.2,50.0,50.0
Russell,40,80%,32,70.06,Wittgenstein 1 (Promoted),76.0,100,51.4,86.7,84.8,71.9,61.9,67.9,50.0,50.0
Russell,40,100%,40,78.9,Wittgenstein 1 (Promoted),99.0,100,53.5,99.0,100,99.0,67.5,71.0,50.0,50.0
Russell,20,20%,4,48.39,Russell 2,41.5,59.8,53.5,46.6,42.2,41.7,51.0,47.6,50.0,50.0
Russell,20,40%,8,53.25,Russell 2,65.4,61.8,50.0,47.0,58.2,50.0,51.5,48.6,50.0,50.0
Russell,20,60%,12,59.45,Russell 3,78.2,82.3,48.0,62.6,62.5,62.5,46.1,52.3,50.0,50.0
Russell,20,80%,16,64.17,Russell 3,64.0,100,50.0,71.0,76.5,72.3,53.5,54.4,50.0,50.0
Russell,20,100%,20,67.95,Wittgenstein 1 (Promoted),81.5,100,53.5,78.0,78.0,71.0,60.5,57.0,50.0,50.0
Russell,30,20%,6,47.68,Russell 2,51.1,34.0,46.0,46.6,57.4,48.0,46.2,47.5,50.0,50.0
Russell,30,40%,12,54.2,Russell 2,53.5,67.9,48.0,61.0,53.2,61.5,48.0,48.9,50.0,50.0
Russell,30,60%,18,64.09,Russell 3,65.5,91.8,51.3,52.0,99.0,80.5,59.1,41.7,50.0,50.0
Russell,30,80%,24,66.51,Wittgenstein 1 (Promoted),85.0,100,53.5,73.6,66.5,69.5,57.9,59.1,50.0,50.0
Russell,30,100%,30,73.2,Wittgenstein 1 (Promoted),92.0,100,53.5,85.0,92.0,88.5,60.5,60.5,50.0,50.0
Russell,40,20%,8,45.67,Russell 2,46.7,16.6,46.5,24.9,70.6,56.9,50.9,43.6,50.0,50.0
Russell,40,40%,16,58.31,Russell 3,66.4,89.1,46.0,56.3,72.4,58.5,47.5,46.9,50.0,50.0
Russell,40,60%,24,65.32,Wittgenstein 1 (Promoted),75.9,100,50.0,69.1,69.0,70.1,57.9,61.2,50.0,50.0
Russell,40,80%,32,73.02,Wittgenstein 1 (Promoted),76.2,100,53.5,93.3,100,85.8,62.6,58.8,50.0,50.0
